OBJECTID,PARK_NUMBER,PARK_NAME,SAP_EQUIPMENT,SAP_FUNCTIONAL_LOCATION,ITEM_TYPE,ITEM_DESCRIPTION,X,Y
743,D1356,CAROLE PARK COMMUNITY PARK,200483722,B-RE-2231-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.939713063,-27.615865598
744,D0995,WYNNUM WADING POOL PARK,100308702,B-RE-2628-N005,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.180055572,-27.44472925
745,D0276,SANDGATE FORESHORES PARK,100291804,B-RE-1875-N018,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.085326439,-27.32974431
746,D2203,ROTARY PARK,100266424,B-RE-2765-N003,BUBBLER/DRINKING FOUNTAIN,TAP & BUBBLER (RELOCATION),152.986706074,-27.6325582119999
747,D1325,MACLEAY CRESCENT PARK,200479970,B-RE-2303-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.14454422,-27.4721145899999
748,D3755,LYDIA PLACE PARK,100291579,B-RE-1151-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.160941403,-27.4909182289999
749,D0517,BAYSIDE PARK,100308714,B-RE-1685-N006,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.187360339,-27.452189345
750,D0597,PRESTON ROAD PARK,200560827,B-RE-1530-N012,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS DRINKING FOUNTAIN,153.1192172,-27.493644307
751,D0338,JINDALEE BOAT RAMP PARK,200560938,B-RE-1920-N010,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER APOLLO 800,152.928583055,-27.5310546269999
752,D0276,SANDGATE FORESHORES PARK,100291836,B-RE-1875-N022,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.084037131,-27.3228234489999
753,D0172,ORIEL PARK,200520412,B-RE-1976-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.057877142,-27.429966319
754,D0480,PERRIN PARK,200481624,B-RE-1378-N005,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & DOG BOWL",152.992062854,-27.4919478859999
755,D0276,SANDGATE FORESHORES PARK,100308662,B-RE-1875-N004,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.064757666,-27.292899298
756,D2616,DOULTON STREET PARK,100265787,B-RE-0238-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH BOWL,153.048263873,-27.6369761829999
